title,appid,type,price,release_year,required_age,is_multiplayer
Men of War: Vietnam Special Edition Upgrade Pack,63942,dlc,2.99,1970,0,1
Modbox,414120,game,14.99,2016,0,0
IPackThat,363020,game,64.99,2015,0,0
Gladiators Online - Tiro Pack,399550,dlc,0.99,2015,0,0
Train Simulator: Settle Carlisle Specials Add-On,65258,dlc,29.99,2012,0,0
Infinium Strike,374050,game,0,2016,0,0
CoH 2 - Soviet Skin: (M) Makeshift Sand Southern Front,249116,dlc,1.99,2013,17,1
Crystals of Time,306410,game,4.99,2014,0,0
Let's Explore the Airport (Junior Field Trips),363050,game,6.99,2015,0,0
Quantum Conscience,375770,game,4.99,2015,0,0
Super Pixalo,347480,game,4.99,2015,0,0
RE6 / BH6: Onslaught Mode,232530,dlc,3.99,2013,16,1
Marvel Puzzle Quest,234330,game,0,2013,0,1
BloodRayne 2 Demo,3850,demo,0,2006,0,0
Karos,337410,game,0,2014,0,1
Men With Beards,382680,video,5.99,2015,0,0
BLADESTORM: Nightmare,350310,game,59.99,2015,0,0
Call of Duty®: Modern Warfare® 3 Collection 1,42695,dlc,14.99,2012,17,1
Pool Nation,254440,game,9.99,2013,0,1
Project CARS - Modified Car Pack,334771,dlc,1.99,2015,0,1
Tomb Raider: HX AP-15,208797,dlc,0.99,2013,0,1
inSynch,343410,game,4.99,2015,0,0
COH 2 - German Skin: (H) Late War Factory Pattern,231474,dlc,1.99,2013,0,1
Guardians of Middle-earth: The Warrior Bundle,111912,dlc,14.99,2013,0,1
Disney Infinity 3.0 - Dark Classics Pack,400979,dlc,3.99,2015,0,0
Magic 2014 Sylvan Might Deck Key,215857,dlc,0.99,2013,0,1
Medieval II: Total War™ Kingdoms,4780,game,11.99,2007,0,1
Soul Axiom - Art Book,435820,dlc,5.99,2016,0,0
Fantasy Grounds - Savage Worlds: Hellfrost Bestiary,306531,dlc,17.99,2014,0,1
TS Marketplace: BDA 80t Bogie Bolster Wagon Pack,326044,dlc,4.99,2016,0,0
Planet Diver,417980,game,3.99,2015,0,0
Sid Meier's Civilization®: Beyond Earth™,65980,game,39.99,2014,0,1
ACE Supporter Pack DLC,287620,dlc,9.99,2014,0,1
Card City Nights,271820,game,3.99,2014,0,0
Hypt - Original Soundtrack,389180,dlc,2.99,2015,0,0
The Music Machine,359040,game,4.99,2015,0,0
Tales of Symphonia,372360,game,19.99,2016,0,0
Liquid Rhythm BeatWeaver,268122,dlc,5.99,2014,0,0
Agricultural Simulator 2011: Extended Edition,92900,game,4.99,2011,0,1
Escape This,467370,game,0.99,2016,0,0
Cabela's® Hunting Expeditions,214210,game,29.99,2012,0,0
Quest of Dungeons,270050,game,4.99,2014,0,0
Theatre Of The Absurd,299110,game,4.99,2014,0,0
