title,score_phrase,score,genre,editors_choice
LittleBigPlanet PS Vita,Amazing,9.0,Platformer,Y
LittleBigPlanet PS Vita -- Marvel Super Hero Edition,Amazing,9.0,Platformer,Y
Splice: Tree of Life,Great,8.5,Puzzle,N
NHL 13,Great,8.5,Sports,N
Total War Battles: Shogun,Good,7.0,Strategy,N
Double Dragon: Neon,Awful,3.0,Fighting,N
Guild Wars 2,Amazing,9.0,RPG,Y
Tekken Tag Tournament 2,Good,7.5,Fighting,N
Wild Blood,Good,7.0,,N
Mark of the Ninja,Amazing,9.0,"Action, Adventure",Y
Home: A Unique Horror Adventure,Okay,6.5,Adventure,N
Avengers Initiative,Great,8.0,Action,N
Way of the Samurai 4,Mediocre,5.5,"Action, Adventure",N
JoJo's Bizarre Adventure HD,Good,7.0,Fighting,N
Mass Effect 3: Leviathan,Good,7.5,RPG,N
Dark Souls (Prepare to Die Edition),Amazing,9.0,"Action, RPG",Y
Symphony,Good,7.0,Shooter,N
Bastion,Amazing,9.0,"Action, RPG",Y
Tom Clancy's Ghost Recon Phantoms,Good,7.5,Shooter,N
Thirty Flights of Loving,Great,8.0,Adventure,N
Legasista,Okay,6.5,"Action, RPG",N
The Walking Dead: The Game -- Episode 3: Long Road Ahead,Amazing,9.0,Adventure,Y
World of Warcraft: Mists of Pandaria,Great,8.7,RPG,Y
Hell Yeah! Wrath of the Dead Rabbit,Bad,4.9,Platformer,N
Pokemon White Version 2,Amazing,9.6,RPG,Y
War of the Roses,Good,7.3,Action,N
Pokemon Black Version 2,Amazing,9.6,RPG,Y
Drakerider,Okay,6.5,RPG,N
Rock Band Blitz,Great,8.5,Music,Y
Counter-Strike: Global Offensive,Great,8.0,Shooter,N
Worms Revolution,Great,8.5,Strategy,N
Bad Piggies,Amazing,9.2,Action,Y
Resident Evil 6,Good,7.9,"Action, Adventure",N
Shad'O,Good,7.0,Adventure,N
Demon's Score,Okay,6.9,Action,N
NBA 2K13,Amazing,9.1,Sports,Y
The World Ends with You: Solo Remix,Amazing,9.5,RPG,Y
Madden NFL 13,Okay,6.0,Sports,N
Hoodwink,Painful,2.5,Adventure,N
Lili: Child of Geos,Good,7.0,Adventure,N
Marvel vs. Capcom Origins,Great,8.2,Fighting,N
Dead or Alive 5,Great,8.8,Fighting,N
Medal of Honor Warfighter,Bad,4.0,Shooter,N
Professor Layton and the Miracle Mask,Great,8.7,Adventure,Y
Hotline Miami,Great,8.8,Action,Y
Edna & Harvey: Harvey's New Eyes,Okay,6.0,Adventure,N
